PART5||In an effort to ------- people’s perception of the company, Global-Connect has started a charity foundation.|B|improving|improve|improvement|improved|회사에 대한 대중의 인식을 개선하기 위한 노력으로 Global-Connect 사는 자선 재단을 출범했다.
PART5||In compliance with new standards ------ by the American Association of Private Libraries, Rahmen Public Library amended their policies.|A|issued|resulted|permitted|edited|미국 사립 도서관 협회에서 발행한 새로운 기준에 따라, Rahmen 공립 도서관은 그들의 정책을 수정했다.
PART5||We have already made ------ to transfer the funds to your account.|A|arrangements|authorities|ambition|achievements|우리는 이미 당신의 계좌로 자금을 이체할 준비를 했습니다.
PART5||The function in ---- of Dr. Benjamin is scheduled to be held this Saturday evening in the company’s main office.|D|advance|respect|request|honor|Benjamim 박사를 치하하기 위한 행사가 회사의 본사에서 토요일 저녁에 개최될 것으로 예정되어 있다.
PART5||When applying, please be sure to include  your full name, and you are asked to provide any of the information ------- request.|B|at|upon|to|since|지원시에, 당신의 전체이름을 포함시켜 주시고, 또한 당신은 요청시에 그 어떤 정보든 제공하도록 요청됩니다.
PART5||The Dream Tour can handle any contingency by conducting thorough planning in ------.|C|adjustment|advice|advance|advantage|Dream 관광은 사전에 철저한 계획을 실행함으로써 그 어떤 예상치 못한 상황을 대비할 수 있습니다.
PART5||Many clothing manufacturers are ----- on production plants in China.|A|reliant|reliance|reliable|rely|많은 의류 제조 업체들은 중국에 있는 생산 공장들에 의존적이다.
PART5||Most participants have found the series of lectures offered by Western University ----- in providing them with relevant  expertise|B|satisfaction|satisfactory|satisfies|satisfied|대부분의 참여자들은 Western대학에서 제공되는 일련의 강연들이 그들에게 관련된 전문지식을 제공한다는 점에서 만족스럽다는 것을 알게 되었다.
PART5||A recent survey indicated that many plant workers tend to be least ----- to their jobs during overnight shifts|A|attentive|attention|attentiveness|attentively|최근 연구에서 밤근무를 하는 공장 근로자들은 그들 일에 대해 거의 개의치 않는 경향이 있다고 지적하고 있다.
PART5||"The relocation department is	----- for arranging moves and locating housing for employees working abroad"|B|responsive|responsible|responsibly|respond|이전부서가 이사를 준비하고 외국에서 일하는 직원들의 집을 찾는 것을 담당하고 있다.
PART5||We have found that many consumers are ------ to make purchasing decisions before consulting online product reviews|C|comparable|responsive|reluctant|responsible|우리는 많은 고객들이 온라인 상품 평가를 참고하기 전에 구매 결정을 내리는 것을 꺼려하는 것을 알게 되었다.
PART5||You are cordially asked to leave the feedback on our website, and your reviews will be ----- to our product development team|B|appreciative|beneficial|profitable|responsive|당신은 정중하게 우리의 웹사이트에 의견을 남겨 주기를 요청 받으며, 당신의 평가는 우리의 상품 개발 팀에 이로울 것입니다.
PART5||There are parking spots ----- for the handicapped that are located near the front entrance to all of our facilities|A|designated|stationed|elected|passed|우리의 모든 시설 앞에 위치해 있는 정문 근처에 장애인들을 위해 지정된 주차장이 있습니다.
PART5||The orders of the air conditioner in summer season ---- for 70 percent of its annual revenues|B|allow|account|explain|number|여름 시즌의 에어컨의 주문이 한해 수입의 70퍼센트를 차지합니다.
PART5||This organization has been devoted to -------- the welfare of the children in the world.|A|promoting|promote|promotion|promotes|이 단체는 전 세계 어린이들의 복지 증진에 전념해 왔다.
PART5||The chairman wil l----- everyone of the results of the meeting via email|D|speak|mention|express|inform|의장이 모두에게 이메일을 통해서 회의의 결과를 알릴 것이다.
PART5||Engineers are expected to ----- the malfunctions of the newly developed software completely and flawlessly|B|deal|address|satisfy|become|엔지니어들은 새로 개발된 소프트웨어의 기능 장애를 완전히 그리고 결점이 없이 해결할 것으로 예상된다.
PART5||"The City Chorus is scheduled	----- at the dedication of the new library building"|C|is performing|will perform|to perform|performance|The City Chorus 는 새로운 도서관 빌딩을 기념하여 공연을 할 예정이다.
PART5||The ----- of Dream Airlines is to increase its net profits by 10% by next year|C|inquiry|reason|objective|opinion|Dream 항공의 목표는 다음해 순이익을 10퍼센트까지 올리는 것이다.
PART5||Dream Electronics believe that their ----- meet the needs of various customers.|C|production|productivity|products|produces|Dream 전자는 그들의 상품이 다양한 고객들의 필요를 맞출 것이라고 믿습니다.
PART5||In tonight’s ceremony, Dream Advertising will be honored for its outstanding contribution to ----- innovative marketing tool.|B|make|making|made|be made|오늘밤 행사에서, Dream 광고는 혁신적인 마케팅 도구를 만드는 것에 뛰어난 기여에 대해 치하 받을 것이다.
PART5||The tenants have no legal obligation to ------ for housing damages caused by any natural disasters.|C|paid|paying|pay|pays|세입자들은 자연 재해로 야기된 주택 손상에 대해 지불할 법적인 의무가 없다.
PART5||Dream University will hold a ----- of business seminars for small business owners starting next week.|B|process|series|sequence|schedule|Dream 대학은 다음 주부터 소규모 사업자들을 위한 일련의 비즈니스 세미나를 개최할 것입니다.
PART5||The marketing team conducted a ----- to find out how many hours children use the Internet every day.|C|research|progress|survey|broadcast|마케팅 부서는 얼마나 많은 시간을 어린이들이 매일 인터넷을 사용하는지 알아내기 위하여 설문조사를 하였다.
PART5||"If managers are in the middle of a meeting, please ----- from knocking on the door."|A|refrain|prohibit|obtain|differ|만약에 관리자들이 회의 중이면, 문을 두드리는 것을 삼가 주세요.
PART5||"My supervisor has ----- full support for your transfer and she has offered to put her endorsement in writing for you."|D|agreed|relied|wanted|expressed|우리 상사는 당신의 이동에 대해 전폭적인 지지를 표했으며 당신을 위해 서면으로 추천서를 쓰는 것을 제안했습니다.
PART5||"Mr. Levin attempted to convince the firm that they could benefit	----- his experience in international finance."|A|from|concerning|within|about|Levin 씨는 그들이 국제 자금시장에 그의 경험으로 부터 혜택을 받을 수 있다고 회사를 설득하는 시도를 했다.
PART5||"Knowledge of	----- languages is a huge advantage when applying for a client relations position at the Dream Bank of Commerce."|D|endless|collective|broad|multiple|다수의 언어에 대한 지식은 Dream Bank of Commerce사의 고객 관련 직책에 지원 할 때 큰 이점이 됩니다.
PART5||The next meeting will ----- ways to achieve the new year’s objectives.|A|address|remark|express|talk|우리의 감사함의 표시로써, 저는 이 특별 할인들 당신에게 제공할 수 있게 되어 기쁩니다.
PART5||A fine is ----- on cars returned after the date indicated on the rental agreement.|B|appeared|imposed|satisfies|satisfied|위원회는 원칙적으로 제안서를 상세사항을 조사하지 않고 수락했다.
PART5||The company is looking for alternative ways to ----- fossil fuels into clean energy.|D|represent|assign|produce|convert|회사는 화석 연료를 깨끗한 에너지로 바꾸는 대체의 방법들을 찾고 있다.
PART5||The committee accepted the proposal in principle, without having examined -----.|A|specifics|specify|specific|specifically|위원회는 원칙적으로 제안서를 상세사항을 조사하지 않고 수락했다.
PART5||"As a token of our appreciation, I am pleased to be able to	----- this special offer to you."|D|express|announce|confirm|extend|우리의 감사함의 표시로써, 저는 이 특별 할인들 당신에게 제공할 수 있게 되어 기쁩니다.
PART5||Please be ----- that requests for special dietary service must be made in advance.|C|inform|informing|informed|informs|특별 식사 서비스의 요청은 사전에 이루어져야 한다는 점을 양지하시기 바랍니다.
PART5||Dream Distributions ----- its dispute with Legacy Corporation regarding a patent system which was filed last year.|A|settled|delivered|recommended|arrived|Dream 유통은 지난해 제출된 특허받은 시스템에 관련한 Legacy 사와의 분쟁을 해결했다.
PART5||Alex is supposed to ----- the responsibility of marketing director starting next month.|C|represent|assign|assume|convert|Alex 는 다음달부터 마케팅 이사의 책임을 맡을 예정이다.
PART5||For security reasons, only authorized personnel is ------ to enter the laboratory.|B|allowing|allowed|allowance|allow|보안상의 이유로, 승인된 직원만이 실험실에 들어오는 것이 허락된다.
PART5||The initial model produced by our contractors failed to ----- with the specifications we provided them.|B|adhere|comply|belong|approach|우리의 계약자에 의해 생산된 최초의 상품은 우리가 그들에게 제공했던 지침을 지키지 못했었다.
PART5||"I am writing to	 ------ receipt of the orders which I placed last week."|B|decide|acknowledge|capture|recover|저는 지난주에 제가 했던 주문의 수령을 알리기 위해 글을 씁니다.
PART5||At last night’s retirement party, Charles Choi ------ for his 30 years of hard work and dedication to the company.|D|honored|had honored|to be honored|was honored|지난 밤 은퇴 파티에서 Charles Choi 는 그의 30년간의 근면한 근무와 회사에 헌신에 대해 치하 받았다.
PART5||We are regret to inform the rental contract will be ----- at the end of the month.|A|terminated|finalized|categorized|decided|우리는 대여 계약이 이번 달 말에 종료 될 것을 알리게 되어 유감입니다.
